Metric,Value
Accuracy,0.8728323699421965
Macro-F1,0.8316134745438547
Macro-Precision,0.8890628815628817
Macro-Recall,0.8331303418803419
Top-3 Accuracy,0.9884393063583815
Test Loss,0.4123088722117245
