Metric,Value
Accuracy,0.3352601156069364
Macro-F1,0.10882449656612266
Macro-Precision,0.089587941643286
Macro-Recall,0.14854853479853478
Top-3 Accuracy,0.5664739884393064
Test Loss,2.380024481903423
