Metric,Value
Accuracy,0.8786127167630058
Macro-F1,0.848598242046518
Macro-Precision,0.9165079365079366
Macro-Recall,0.8327777777777777
Top-3 Accuracy,0.9884393063583815
Test Loss,0.9534560252319683
