Metric,Value
Accuracy,0.2023121387283237
Macro-F1,0.0532331004691033
Macro-Precision,0.045882689725973314
Macro-Recall,0.07938797313797313
Top-3 Accuracy,0.37572254335260113
Test Loss,2.9654946435581553
