Metric,Value
Accuracy,0.8786127167630058
Macro-F1,0.8397970311832936
Macro-Precision,0.9106038868538868
Macro-Recall,0.8390277777777777
Top-3 Accuracy,0.9826589595375722
Test Loss,0.5436125236817382
