epoch,train_loss,train_acc,val_loss,val_acc,lr
0,3.1513948578765425,0.16304347826086957,2.751468989584181,0.30935251798561153,0.0001
1,2.5601783524388853,0.3858695652173913,2.319763501485189,0.4028776978417266,0.0001
2,2.1931209564208984,0.4673913043478261,2.0544005963537426,0.460431654676259,0.0001
3,1.8997235056282817,0.5,1.8493896590338812,0.5827338129496403,0.0001
4,1.6606936212899028,0.5960144927536232,1.6272946331236098,0.6187050359712231,0.0001
5,1.4337509542271711,0.6557971014492754,1.451867441336314,0.6402877697841727,0.0001
6,1.2917930224667424,0.6884057971014492,1.294946210251914,0.7338129496402878,0.0001
7,1.0756066873453665,0.7644927536231884,1.1130321539110608,0.7266187050359713,0.0001
8,0.9655652357184369,0.7572463768115942,1.043104683359464,0.762589928057554,0.0001
9,0.8427329832229061,0.802536231884058,0.889780667093065,0.7913669064748201,0.0001
10,0.6990276419598124,0.8405797101449275,0.9678892393906912,0.7841726618705036,0.0001
11,0.6417503719744475,0.8405797101449275,0.8044996890756819,0.8057553956834532,0.0001
12,0.5500716534645661,0.8514492753623188,0.744610200325648,0.8057553956834532,0.0001
13,0.4904983715302702,0.8641304347826086,0.7130258538656764,0.8633093525179856,0.0001
14,0.4187985844370248,0.8913043478260869,0.6663336522049375,0.8273381294964028,0.0001
15,0.3900771574049756,0.8840579710144928,0.6343887216515012,0.8705035971223022,0.0001
16,0.32389512625725375,0.8985507246376812,0.5381360579695966,0.8776978417266187,0.0001
17,0.2853364344092383,0.9094202898550725,0.5801647789776325,0.841726618705036,0.0001
18,0.2624935310171998,0.907608695652174,0.5443182076430984,0.8273381294964028,0.0001
19,0.22305375029859337,0.927536231884058,0.5736217538101805,0.841726618705036,0.0001
20,0.21451016299534534,0.9094202898550725,0.566249080416229,0.8776978417266187,0.0001
21,0.15381802483529283,0.9565217391304348,0.5574202421638701,0.8705035971223022,0.0001
22,0.14721659908368104,0.9510869565217391,0.5916939271200035,0.9064748201438849,0.0001
23,0.13225653238486554,0.9547101449275363,0.5950286137974925,0.9064748201438849,0.0001
24,0.11624497801497363,0.9728260869565217,0.5578293399885297,0.8920863309352518,0.0001
25,0.08862191149829954,0.9655797101449275,0.5594599065888259,0.8848920863309353,0.0001
26,0.07521468599367401,0.9728260869565217,0.5626153921087583,0.9136690647482014,0.0001
27,0.05489160208220499,0.9818840579710145,0.5711174284935825,0.9136690647482014,0.0001
28,0.062393166826687,0.9836956521739131,0.6573848523096077,0.920863309352518,0.0001
29,0.04414607774790214,0.9909420289855072,0.727774515023662,0.9064748201438849,0.0001
30,0.033032968876532454,0.9927536231884058,0.7293656316792799,0.8848920863309353,0.0001
31,0.038501190531162036,0.9818840579710145,0.6365633269564973,0.935251798561151,0.0001
32,0.039707264292688255,0.9855072463768116,0.6432213141427686,0.8992805755395683,0.0001
33,0.029287710026635425,0.9963768115942029,0.6317522443520526,0.935251798561151,0.0001
34,0.02534603940633436,0.9945652173913043,0.711591526089857,0.9064748201438849,0.0001
35,0.01841712474276352,0.9981884057971014,0.66426457110275,0.920863309352518,0.0001
36,0.027347030836845868,0.9873188405797102,0.7238031696631677,0.920863309352518,0.0001
37,0.013245785752297852,0.9963768115942029,0.6747711339784372,0.9280575539568345,0.0001
38,0.010179971341394645,0.9963768115942029,0.6800571807479072,0.935251798561151,5e-05
39,0.00821850671891825,0.9981884057971014,0.6746079663021697,0.935251798561151,5e-05
