Experimento,Carpeta,Dropout,Class Weights,Label Smoothing,Test Accuracy,Macro F1,Top-3 Accuracy,Best Epoch
Baseline,G4-QDRANT (Video-Base),0.1,No,0.0,0.3793103448275862,0.16251425061022584,0.6453488372093024,48
Class Weights,G4-QDRANT (Video-Base)-CLASS-WEIGHTS,0.3,Sí,0.0,0.11494252873563218,0.02536809595633125,0.28488372093023256,8
Label Smoothing,G4-QDRANT (Video-Base)-LABEL-SMOOTH,0.3,No,0.1,0.21839080459770116,0.0441828631138976,0.4476744186046512,15
