Metric,Value
Accuracy,0.8728323699421965
Macro-F1,0.8244321373625176
Macro-Precision,0.8750946275946277
Macro-Recall,0.8186858974358974
Top-3 Accuracy,0.9710982658959537
Test Loss,1.0130613446235657
