epoch,train_loss,train_acc,val_loss,val_acc,lr
0,3.256252956390381,0.18018018018018017,2.9459327459335327,0.2805755395683453,0.0001
1,2.8014059100832256,0.31891891891891894,2.4870179229312472,0.31654676258992803,0.0001
2,2.4133639897618977,0.4,2.1902120974328785,0.4316546762589928,0.0001
3,2.1487648623330253,0.47387387387387386,1.9934180710050795,0.4892086330935252,0.0001
4,1.942983078956604,0.5261261261261261,1.8471374644173517,0.5827338129496403,0.0001
5,1.7889469827924456,0.5855855855855856,1.694858729839325,0.6690647482014388,0.0001
6,1.671129674570901,0.6756756756756757,1.5952476792865329,0.697841726618705,0.0001
7,1.5375677934714727,0.7189189189189189,1.5027227600415547,0.7194244604316546,0.0001
8,1.460042997768947,0.7585585585585586,1.412778788142734,0.7697841726618705,0.0001
9,1.3756736040115356,0.790990990990991,1.3391411966747708,0.8057553956834532,0.0001
10,1.3046539400305066,0.8324324324324325,1.2827384306324854,0.8776978417266187,0.0001
11,1.2545185702187673,0.8414414414414414,1.2213482062021892,0.8705035971223022,0.0001
12,1.2050502487591335,0.8540540540540541,1.1944813032944996,0.841726618705036,0.0001
13,1.1506884958062853,0.8774774774774775,1.1306273738543193,0.8705035971223022,0.0001
14,1.0964514570576804,0.9009009009009009,1.1035169925954607,0.8776978417266187,0.0001
15,1.0571009482656206,0.9045045045045045,1.0616846746868558,0.8848920863309353,0.0001
16,1.023381175313677,0.918918918918919,1.0286059280236561,0.9064748201438849,0.0001
17,0.9949167626244682,0.9297297297297298,1.0091509620348613,0.935251798561151,0.0001
18,0.9583854683807917,0.9495495495495495,1.0155290961265564,0.9064748201438849,0.0001
19,0.9446284106799534,0.9459459459459459,1.0100167824162378,0.9064748201438849,0.0001
20,0.9391864044325692,0.9567567567567568,0.9577822751469083,0.9280575539568345,0.0001
21,0.902319484949112,0.9621621621621622,0.9581477608945634,0.9424460431654677,0.0001
22,0.8903269912515368,0.9711711711711711,0.9216081632508172,0.9424460431654677,0.0001
23,0.8659030701432909,0.9783783783783784,0.9420643481943343,0.9424460431654677,0.0001
24,0.854831108876637,0.9819819819819819,0.894623726606369,0.9496402877697842,0.0001
25,0.8312906410012927,0.9873873873873874,0.914116210407681,0.9280575539568345,0.0001
26,0.821156940289906,0.9837837837837838,0.8788026736842262,0.9424460431654677,0.0001
27,0.8103094484124865,0.9873873873873874,0.872984810007943,0.9640287769784173,0.0001
28,0.7968770810535976,0.9927927927927928,0.8464150296317207,0.9496402877697842,0.0001
29,0.7962123385497502,0.9927927927927928,0.8286011649502648,0.9784172661870504,0.0001
30,0.7806260398456029,0.9963963963963964,0.8857012887795767,0.9280575539568345,0.0001
31,0.765919349874769,0.9963963963963964,0.8359909620549943,0.9496402877697842,0.0001
32,0.7682015001773834,0.9981981981981982,0.819462282790078,0.9712230215827338,0.0001
33,0.7620926439762116,0.990990990990991,0.8439282543129392,0.9640287769784173,0.0001
34,0.7542190219674791,0.9981981981981982,0.8265641033649445,0.9424460431654677,0.0001
35,0.7503405272960663,1.0,0.8299761083390977,0.9496402877697842,0.0001
36,0.7396813367094313,0.9981981981981982,0.8264842861228519,0.9424460431654677,5e-05
37,0.735223103421075,0.9981981981981982,0.7883307072851393,0.9784172661870504,5e-05
