experiment,dropout,class_weights,label_smoothing,test_accuracy,test_macro_f1,test_top3_accuracy,test_loss,best_epoch,best_val_acc
G4-RESULTS,0.1,False,0.0,0.9252873563218391,0.8843708087420055,0.9885057471264368,0.9539305432276293,28,0.9568345323741008
G4-RESULTS-CLASS-WEIGHTS,0.3,True,0.0,0.9367816091954023,0.92024083196497,0.9770114942528736,,39,
G4-RESULTS-LABEL-SMOOTH,0.3,False,0.1,0.9540229885057471,0.9484955648926238,0.9885057471264368,,29,
