experiment,dropout,class_weights,label_smoothing,test_accuracy,test_macro_f1,test_top3_accuracy,test_loss,best_epoch,best_val_acc
G5_Baseline,0.1,False,0.0,0.040229885057471264,0.005076305220883534,0.09195402298850575,3.410974079912359,0,0.0
G5.1_ClassWeights_Dropout03,0.3,True,0.0,0.8045977011494253,0.7549763508096842,0.9425287356321839,0.9118158302523873,38,0.7482014388489209
G5.2_Dropout03_LabelSmooth,0.3,False,0.1,0.8218390804597702,0.7548943109788494,0.9425287356321839,1.1794153289361433,50,0.8273381294964028
