epoch,train_loss,train_acc,val_loss,val_acc,lr
0,3.051480956699537,0.21557971014492755,2.594410459200541,0.3669064748201439,0.0001
1,2.4591899160025776,0.4057971014492754,2.1714391774601407,0.5179856115107914,0.0001
2,2.1132477349129277,0.4963768115942029,1.9048528141445584,0.6474820143884892,0.0001
3,1.8589570470478223,0.6014492753623188,1.732087665134006,0.6258992805755396,0.0001
4,1.684726395468781,0.6648550724637681,1.6138626337051392,0.6546762589928058,0.0001
5,1.5427421158638552,0.7264492753623188,1.4906249642372131,0.7194244604316546,0.0001
6,1.446864126385122,0.7282608695652174,1.423117332988315,0.7194244604316546,0.0001
7,1.3675681749979656,0.7844202898550725,1.3484244909551408,0.7697841726618705,0.0001
8,1.2630427695702815,0.8170289855072463,1.2966398464308844,0.8129496402877698,0.0001
9,1.18965267530386,0.8478260869565217,1.25727778673172,0.7769784172661871,0.0001
10,1.1476569072059963,0.8442028985507246,1.198419173558553,0.8561151079136691,0.0001
11,1.0850459328596143,0.8786231884057971,1.1613665488031175,0.8561151079136691,0.0001
12,1.033254004906917,0.907608695652174,1.1181957324345906,0.8489208633093526,0.0001
13,1.001250708448714,0.9166666666666666,1.0661371681425307,0.8776978417266187,0.0001
14,0.9684027450672095,0.9239130434782609,1.092871328194936,0.8633093525179856,0.0001
15,0.9223422960958619,0.9329710144927537,1.034193002515369,0.9136690647482014,0.0001
16,0.889331485050312,0.9528985507246377,1.0151181717713673,0.8920863309352518,0.0001
17,0.8692851524422134,0.9655797101449275,0.9427142673068576,0.8920863309352518,0.0001
18,0.8483570529066998,0.9619565217391305,1.0153938333193462,0.9136690647482014,0.0001
19,0.840644851974819,0.9601449275362319,1.0005375842253368,0.8992805755395683,0.0001
20,0.8147868272187053,0.9782608695652174,0.9670399228731791,0.9064748201438849,0.0001
21,0.7982924425083658,0.9782608695652174,0.9663699302408431,0.8848920863309353,0.0001
22,0.7666416816089464,0.9855072463768116,0.9524262746175131,0.920863309352518,5e-05
23,0.740218756855398,0.9891304347826086,0.9632438785499997,0.935251798561151,5e-05
24,0.7469617715780286,0.9927536231884058,0.9375244147247739,0.9280575539568345,5e-05
25,0.7331031768218331,0.9927536231884058,0.9341918230056763,0.920863309352518,5e-05
26,0.7240963016731151,0.9945652173913043,0.9413464963436127,0.9136690647482014,5e-05
27,0.7213707160258639,0.9945652173913043,0.9452934629387326,0.9280575539568345,5e-05
28,0.7189733774765678,0.9963768115942029,0.9331056508753035,0.9280575539568345,5e-05
29,0.7159389015557109,0.9945652173913043,0.9339050518141853,0.9496402877697842,5e-05
30,0.7087668094082155,0.9945652173913043,0.9007065296173096,0.9280575539568345,5e-05
31,0.7061588349549667,0.9963768115942029,0.905714664194319,0.920863309352518,5e-05
32,0.7055227816968724,0.9963768115942029,0.9218703111012777,0.920863309352518,5e-05
33,0.7016505633575328,0.9963768115942029,0.8906367917855581,0.9280575539568345,5e-05
34,0.6977318387100662,0.9981884057971014,0.9019887646039327,0.935251798561151,5e-05
35,0.69744105356327,0.9981884057971014,0.8996680875619253,0.9280575539568345,5e-05
36,0.6924457575963892,0.9981884057971014,0.9145955940087637,0.935251798561151,2.5e-05
37,0.6926733618197234,0.9963768115942029,0.899624205297894,0.935251798561151,2.5e-05
