Metric,Value
Accuracy,0.8959537572254336
Macro-F1,0.8644282728765488
Macro-Precision,0.9214233500417711
Macro-Recall,0.8544444444444445
Top-3 Accuracy,0.9884393063583815
Test Loss,0.9508689912882718
