experiment,dropout,class_weights,label_smoothing,input_dim,test_accuracy,test_macro_f1,test_top3_accuracy,test_loss,best_epoch,best_val_acc
G5_UMAP_Baseline,0.1,False,0.1,128,0.632183908045977,0.4721661771661772,0.8735632183908046,1.6139038530263035,36,0.5755395683453237
G6_UMAP_ClassWeights,0.3,True,0.0,128,0.6264367816091954,0.5299792860118947,0.8448275862068966,1.492824055931785,49,0.5827338129496403
G7_UMAP_LabelSmoothing,0.3,False,0.2,128,0.6781609195402298,0.5500548145876287,0.8563218390804598,1.9170506921681492,45,0.6258992805755396
