Metric,Value
Accuracy,0.23563218390804597
Macro-F1,0.05989898974214046
Macro-Precision,0.04799284702225879
Macro-Recall,0.0924587912087912
Top-3 Accuracy,0.5116279069767442
Test Loss,
Best Epoch,47.0
Best Val Acc,0.2517985611510791
