Metric,Value
Accuracy,0.12643678160919541
Macro-F1,0.039759924171688873
Macro-Precision,0.038148148148148146
Macro-Recall,0.07346153846153845
Top-3 Accuracy,0.3488372093023256
Test Loss,
Best Epoch,26.0
Best Val Acc,0.1510791366906475
