Metric,Value
Accuracy,0.16091954022988506
Macro-F1,0.02853507201333288
Macro-Precision,0.017450656830388923
Macro-Recall,0.08527777777777779
Top-3 Accuracy,0.4011627906976744
Test Loss,
Best Epoch,9.0
Best Val Acc,0.12949640287769784
