Metric,Value
Accuracy,0.10982658959537572
Macro-F1,0.014247982922681717
Macro-Precision,0.008450046685340802
Macro-Recall,0.058888888888888886
Top-3 Accuracy,0.13872832369942195
Test Loss,3.402005910873413
