experiment,dropout,class_weights,label_smoothing,test_accuracy,test_macro_f1,test_top3_accuracy,test_loss,best_epoch,best_val_acc
G4-RESULTS,0.1,False,0.0,0.7528735632183908,0.6598202175392519,0.8850574712643678,1.2458371404579587,49,0.7913669064748201
G4-RESULTS-CLASS-WEIGHTS,0.3,True,0.0,0.7586206896551724,0.6898217874079945,0.9022988505747126,1.4152238025880335,46,0.7553956834532374
G4-RESULTS-LABEL-SMOOTH,0.3,False,0.1,0.7758620689655172,0.6740141956808625,0.8850574712643678,1.6766111661087384,46,0.762589928057554
